fiscal_year,district,local_admin_org,waste_amount,unit
2566,นครชัยศรี,เทศบาลตำบลขุนแก้ว,127.0,ตันต่อปี
2566,นครชัยศรี,เทศบาลตำบลนครชัยศรี,319.0,ตันต่อปี
2566,นครชัยศรี,เทศบาลตำบลห้วยพลู,78.2,ตันต่อปี
2566,นครชัยศรี,ทต.ศีรษะทอง,20.0,ตันต่อปี
2566,นครชัยศรี,อบต.งิ้วราย,0.0,ตันต่อปี
2566,นครชัยศรี,อบต.ดอนแฝก,39.0,ตันต่อปี
2566,นครชัยศรี,อบต.ท่ากระชับ,4.0,ตันต่อปี
2566,นครชัยศรี,อบต.ท่าตำหนัก,10.0,ตันต่อปี
2566,นครชัยศรี,อบต.ท่าพระยา,14.0,ตันต่อปี
2566,นครชัยศรี,อบต.ไทยาวาส,10.0,ตันต่อปี
2566,นครชัยศรี,อบต.นครชัยศรี,60.0,ตันต่อปี
2566,นครชัยศรี,อบต.บางแก้ว,3.0,ตันต่อปี
2566,นครชัยศรี,อบต.บางแก้วฟ้า,15.0,ตันต่อปี
2566,นครชัยศรี,อบต.บางพระ,2.0,ตันต่อปี
2566,นครชัยศรี,อบต.บางระกำ,10.0,ตันต่อปี
2566,นครชัยศรี,อบต.พะเนียด,10.0,ตันต่อปี
2566,นครชัยศรี,อบต.ลานตากฟ้า,12.0,ตันต่อปี
2566,นครชัยศรี,อบต.วัดแค,19.0,ตันต่อปี
2566,นครชัยศรี,อบต.วัดละมุด,43.0,ตันต่อปี
2566,นครชัยศรี,อบต.วัดสำโรง,0.0,ตันต่อปี
2566,นครชัยศรี,อบต.ศรีมหาโพธิ์,0.0,ตันต่อปี
2566,นครชัยศรี,อบต.โคกพระเจดีย์,0.0,ตันต่อปี
2566,นครชัยศรี,อบต.สัมปทวน,0.0,ตันต่อปี
2566,นครชัยศรี,อบต.ห้วยพลู,60.0,ตันต่อปี
2566,นครชัยศรี,อบต.แหลมบัว,0.0,ตันต่อปี
2566,ดอนตูม,เทศบาลตำบลสามง่าม,23.5,ตันต่อปี
2566,ดอนตูม,อบต.ดอนพุทรา,10.0,ตันต่อปี
2566,ดอนตูม,อบต.ดอนรวก,0.0,ตันต่อปี
2566,ดอนตูม,อบต.บ้านหลวง,20.0,ตันต่อปี
2566,ดอนตูม,อบต.ลำเหย,6.0,ตันต่อปี
