fiscal_year,district,local_admin_org,waste_amount,unit
2564,สามพราน,องค์การบริหารส่วนตำบลหอมเกร็ด,50.3,ตันต่อปี
2564,พุทธมณฑล,เทศบาลตำบลคลองโยง,74.06,ตันต่อปี
2564,พุทธมณฑล,เทศบาลตำบลศาลายา,20.0,ตันต่อปี
2564,พุทธมณฑล,องค์การบริหารส่วนตำบลมหาสวัสดิ์,150.0,ตันต่อปี
2564,พุทธมณฑล,องค์การบริหารส่วนตำบลศาลายา,15.0,ตันต่อปี
2565,เมืองนครปฐม,เทศบาลนครนครปฐม,7.0,ตันต่อปี
2565,เมืองนครปฐม,เทศบาลเมืองนครปฐม,200.0,ตันต่อปี
2565,เมืองนครปฐม,เทศบาลตำบลดอนยายหอม,47.0,ตันต่อปี
2565,เมืองนครปฐม,เทศบาลตำบลธรรมศาลา,35.0,ตันต่อปี
2565,เมืองนครปฐม,เทศบาลตำบลบ่อพลับ,10.0,ตันต่อปี
2565,เมืองนครปฐม,เทศบาลตำบลโพรงมะเดื่อ,30.0,ตันต่อปี
2565,เมืองนครปฐม,เทศบาลตำบลมาบแค,0.0,ตันต่อปี
2565,เมืองนครปฐม,เทศบาลเมืองสามควายเผือก,227.0,ตันต่อปี
2565,เมืองนครปฐม,เทศบาลตำบลตาก้อง,5.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลถนนขาด,35.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลทัพหลวง,2.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลทุ่งน้อย,5.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลธรรมศาลา,5.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลบางแขม,10.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลบ้านยาง,50.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลพระประโทน,3.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลโพรงมะเดื่อ,11.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลลำพยา,12.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลวังตะกู,108.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลวังเย็น,5.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลสนามจันทร์,23.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลสระกระเทียม,7.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลสวนป่าน,50.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลดอนยายหอม,60.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลหนองงูเหลือม,2.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลหนองดินแดง,58.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลหนองปากโลง,10.0,ตันต่อปี
2565,เมืองนครปฐม,องค์การบริหารส่วนตำบลห้วยจรเข้,30.0,ตันต่อปี
2565,กำแพงแสน,เทศบาลตำบลกำแพงแสน,80.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลกระตีบ,62.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลกำแพงแสน,102.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลดอนข่อย,51.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งกระพังโหม,100.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งขวาง,65.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งบัว,50.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งลูกนก,60.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลรางพิกุล,30.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลวังน้ำเขียว,10.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลสระพัฒนา,40.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลสระสี่มุม,170.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลหนองกระทุ่ม,40.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลห้วยขวาง,374.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลห้วยม่วง,37.0,ตันต่อปี
2565,กำแพงแสน,องค์การบริหารส่วนตำบลห้วยหมอนทอง,1.0,ตันต่อปี
2565,นครชัยศรี,เทศบาลตำบลขุนแก้ว,37.5,ตันต่อปี
2565,นครชัยศรี,เทศบาลตำบลนครชัยศรี,16.0,ตันต่อปี
2565,นครชัยศรี,เทศบาลตำบลห้วยพลู,71.0,ตันต่อปี
2565,นครชัยศรี,เทศบาลตำบลศีรษะทอง,50.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลงิ้วราย,10.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลดอนแฝก,106.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลท่ากระชับ,45.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลท่าตำหนัก,7.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลท่าพระยา,12.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลไทยาวาส,10.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลนครชัยศรี,40.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลบางแก้ว,2.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลบางแก้วฟ้า,20.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลบางพระ,2.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลบางระกำ,10.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลพะเนียด,160.5,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลลานตากฟ้า,15.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลวัดแค,18.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลวัดละมุด,1.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลวัดสำโรง,6.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลศรีมหาโพธิ์,17.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลโคกพระเจดีย์,58.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลสัมปทวน,0.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลห้วยพลู,2.0,ตันต่อปี
2565,นครชัยศรี,องค์การบริหารส่วนตำบลแหลมบัว,0.0,ตันต่อปี
2565,ดอนตูม,เทศบาลตำบลสามง่าม,0.0,ตันต่อปี
